,Hero,Entry,Move,Weapon,HP,Atk,Spd,Def,Res,Total,Link,Color,Version,Book,ReleaseDate
661,Leif: Unifier of Thracia,Genealogy of the Holy War,Cavalry,Colorless Bow,40,38,22,29,27,156,https://feheroes.fandom.com/wiki/Leif:_Unifier_of_Thracia,Colorless,3.1,3,2019-10-29
662,Leila: Keen Lookout,The Blazing Blade,Flying,Red Tome,40,38,43,20,25,166,https://feheroes.fandom.com/wiki/Leila:_Keen_Lookout,Red,6.8,6,2022-08-09
663,Leila: Rose amid Fangs,The Blazing Blade,Infantry,Colorless Dagger,40,36,41,23,26,166,https://feheroes.fandom.com/wiki/Leila:_Rose_amid_Fangs,Colorless,4.2,4,2020-02-17
664,Leila: Superb Shadow,The Blazing Blade,Infantry,Colorless Dagger,40,45,48,27,33,193,https://feheroes.fandom.com/wiki/Leila:_Superb_Shadow,Colorless,9.0,9,2024-12-06
665,Lena: Bereft Angel,Shadow Dragon / (New) Mystery,Infantry,Colorless Staff,45,48,27,19,49,188,https://feheroes.fandom.com/wiki/Lena:_Bereft_Angel,Colorless,9.5,9,2025-05-07
666,Lena: Tender Angel,Shadow Dragon / (New) Mystery,Infantry,Colorless Staff,40,32,29,24,37,162,https://feheroes.fandom.com/wiki/Lena:_Tender_Angel,Colorless,4.7,4,2020-07-20
667,Lene: Yearning Dancer,Genealogy of the Holy War,Infantry,Red Sword,35,28,35,23,28,149,https://feheroes.fandom.com/wiki/Lene:_Yearning_Dancer,Red,2.5,2,2018-05-10
668,Leo: Dark Sprout,Fates,Cavalry,Red Tome,40,49,27,16,48,180,https://feheroes.fandom.com/wiki/Leo:_Dark_Sprout,Red,9.4,9,2025-04-04
669,Leo: Extra Tomatoes,Fates,Cavalry,Green Tome,37,33,21,27,28,146,https://feheroes.fandom.com/wiki/Leo:_Extra_Tomatoes,Green,3.4,3,2019-04-24
670,Leo: Festival Bonds,Fates,Cavalry,Colorless Tome,37,46,27,18,46,174,https://feheroes.fandom.com/wiki/Leo:_Festival_Bonds,Colorless,8.8,8,2024-08-07
671,Leo: Seashore's Prince,Fates,Infantry,Red Tome,37,32,27,16,35,147,https://feheroes.fandom.com/wiki/Leo:_Seashore%27s_Prince,Red,1.5,1,2017-07-28
672,Leo: Shrouded Heart,Fates,Cavalry,Green Bow,37,45,31,16,45,174,https://feheroes.fandom.com/wiki/Leo:_Shrouded_Heart,Green,7.2,7,2023-02-07
673,Leo: Sorcerous Prince,Fates,Cavalry,Red Tome,39,29,22,25,30,145,https://feheroes.fandom.com/wiki/Leo:_Sorcerous_Prince,Red,1.0,1,2017-02-02
674,Leon: True of Heart,Echoes,Infantry,Colorless Bow,39,34,30,30,15,148,https://feheroes.fandom.com/wiki/Leon:_True_of_Heart,Colorless,1.5,1,2017-07-13
675,Leonardo: Freedom's Arrow,Radiant Dawn,Infantry,Colorless Bow,40,44,42,26,36,188,https://feheroes.fandom.com/wiki/Leonardo:_Freedom%27s_Arrow,Colorless,8.6,8,2024-06-07
676,Leonie: Relentless Rays,Three Houses,Cavalry,Colorless Bow,41,36,39,27,19,162,https://feheroes.fandom.com/wiki/Leonie:_Relentless_Rays,Colorless,5.6,5,2021-06-22
677,Lethe: Cat Attack,Radiant Dawn,Cavalry,Blue Beast,40,44,47,35,24,190,https://feheroes.fandom.com/wiki/Lethe:_Cat_Attack,Blue,8.1,8,2024-10-04
678,Lethe: Gallia's Valkyrie,Radiant Dawn,Cavalry,Red Beast,41,33,38,26,19,157,https://feheroes.fandom.com/wiki/Lethe:_Gallia%27s_Valkyrie,Red,3.4,3,2019-04-10
679,Lethe: New Year's Claw,Radiant Dawn,Cavalry,Green Beast,41,35,41,27,18,162,https://feheroes.fandom.com/wiki/Lethe:_New_Year%27s_Claw,Green,4.0,4,2020-01-01
680,Letizia: Curse Director,Heroes,Cavalry,Green Tome,38,40,16,35,34,163,https://feheroes.fandom.com/wiki/Letizia:_Curse_Director,Green,6.6,6,2022-06-08
681,Lewyn: Guiding Breeze,Genealogy of the Holy War,Infantry,Green Tome,38,34,37,17,25,151,https://feheroes.fandom.com/wiki/Lewyn:_Guiding_Breeze,Green,2.9,2,2018-09-07
682,Lewyn: Wind-Song Scion,Genealogy of the Holy War,Infantry,Blue Tome,40,38,40,19,34,171,https://feheroes.fandom.com/wiki/Lewyn:_Wind-Song_Scion,Blue,5.9,5,2021-09-07
683,Lex: Young Blade,Genealogy of the Holy War,Cavalry,Green Axe,45,36,30,38,19,168,https://feheroes.fandom.com/wiki/Lex:_Young_Blade,Green,5.2,5,2021-02-16
684,Libra: Fetching Friar,Awakening,Infantry,Green Axe,40,35,32,28,29,164,https://feheroes.fandom.com/wiki/Libra:_Fetching_Friar,Green,2.7,2,2018-07-20
685,Líf: Arcane Blade,Heroes,Cavalry,Red Sword,41,43,29,41,26,180,https://feheroes.fandom.com/wiki/L%C3%ADf:_Arcane_Blade,Red,6.9,6,2022-09-16
686,Líf: Lethal Swordsman,Heroes,Infantry,Red Sword,42,38,30,34,29,173,https://feheroes.fandom.com/wiki/L%C3%ADf:_Lethal_Swordsman,Red,4.1,4,2020-01-30
687,Líf: Undying Ties Duo,Heroes,Cavalry,Red Tome,39,39,25,30,25,158,https://feheroes.fandom.com/wiki/L%C3%ADf:_Undying_Ties_Duo,Red,5.2,5,2021-02-05
688,Lifis: Terror of Iz,Thracia 776,Infantry,Green Axe,47,36,40,30,23,176,https://feheroes.fandom.com/wiki/Lifis:_Terror_of_Iz,Green,5.8,5,2021-08-06
689,Lilina: Beachside Bloom,The Binding Blade,Cavalry,Red Dagger,35,38,25,16,35,149,https://feheroes.fandom.com/wiki/Lilina:_Beachside_Bloom,Red,3.7,3,2019-07-09
690,Lilina: Beaming Bride,The Binding Blade,Cavalry,Blue Tome,39,44,22,16,42,163,https://feheroes.fandom.com/wiki/Lilina:_Beaming_Bride,Blue,6.5,6,2022-05-20
691,Lilina: Blush of Youth,The Binding Blade,Cavalry,Green Tome,34,35,30,20,26,145,https://feheroes.fandom.com/wiki/Lilina:_Blush_of_Youth,Green,2.2,2,2018-02-09
692,Lilina: Brilliant Flame,The Binding Blade,Infantry,Green Tome,40,48,35,17,48,188,https://feheroes.fandom.com/wiki/Lilina:_Brilliant_Flame,Green,8.11,8,2024-11-15
693,Lilina: Delightful Noble,The Binding Blade,Infantry,Red Tome,35,37,25,19,31,147,https://feheroes.fandom.com/wiki/Lilina:_Delightful_Noble,Red,1.0,1,2017-02-02
694,Lilina: Firelight Leader,The Binding Blade,Cavalry,Red Tome,39,42,21,16,40,158,https://feheroes.fandom.com/wiki/Lilina:_Firelight_Leader,Red,5.0,5,2020-12-25
695,Lilith: Astral Daughter,Fates,Flying,Blue Breath,39,36,41,27,30,173,https://feheroes.fandom.com/wiki/Lilith:_Astral_Daughter,Blue,4.4,4,2020-04-08
696,Lilith: Silent Broodling,Fates,Flying,Red Breath,39,40,43,29,33,184,https://feheroes.fandom.com/wiki/Lilith:_Silent_Broodling,Red,6.5,6,2022-05-10
697,Limstella: Living Construct,The Blazing Blade,Infantry,Green Tome,41,39,23,32,36,171,https://feheroes.fandom.com/wiki/Limstella:_Living_Construct,Green,6.6,6,2022-06-09
698,Linde: Bound by Fate,Shadow Dragon / (New) Mystery,Cavalry,Red Tome,37,44,45,16,27,169,https://feheroes.fandom.com/wiki/Linde:_Bound_by_Fate,Red,7.1,7,2023-01-10
699,Linde: Light Mage,Shadow Dragon / (New) Mystery,Infantry,Blue Tome,35,35,36,14,27,147,https://feheroes.fandom.com/wiki/Linde:_Light_Mage,Blue,1.0,1,2017-02-02
700,Linde: Summer Rays,Shadow Dragon / (New) Mystery,Cavalry,Colorless Dagger,33,34,35,16,26,144,https://feheroes.fandom.com/wiki/Linde:_Summer_Rays,Colorless,2.7,2,2018-07-10
701,Linhardt: Hevring's Heir,Three Houses,Infantry,Colorless Staff,39,34,25,30,38,166,https://feheroes.fandom.com/wiki/Linhardt:_Hevring%27s_Heir,Colorless,5.3,5,2021-03-05
702,Linhardt: Spring Snoozer,Three Houses,Infantry,Colorless Bow,40,46,31,25,46,188,https://feheroes.fandom.com/wiki/Linhardt:_Spring_Snoozer,Colorless,8.3,8,2024-03-07
703,Linoan: Lady of Tarrah,Thracia 776,Infantry,Colorless Staff,39,44,46,20,39,188,https://feheroes.fandom.com/wiki/Linoan:_Lady_of_Tarrah,Colorless,9.7,9,2025-07-18
704,Linus: Mad Dog,The Blazing Blade,Infantry,Green Axe,42,37,33,32,19,163,https://feheroes.fandom.com/wiki/Linus:_Mad_Dog,Green,2.6,2,2018-06-12
705,Linus: Savage Dog,The Blazing Blade,Infantry,Green Axe,42,46,43,36,20,187,https://feheroes.fandom.com/wiki/Linus:_Savage_Dog,Green,7.5,7,2023-05-10
706,Lissa: Littlest Princess,Awakening,Infantry,Green Axe,40,47,17,47,42,193,https://feheroes.fandom.com/wiki/Lissa:_Littlest_Princess,Green,8.4,8,2024-04-05
707,Lissa: Pure Joy,Awakening,Armored,Green Axe,43,33,30,35,34,175,https://feheroes.fandom.com/wiki/Lissa:_Pure_Joy,Green,2.0,2,2017-12-18
708,Lissa: Sprightly Cleric,Awakening,Infantry,Colorless Staff,39,26,25,28,30,148,https://feheroes.fandom.com/wiki/Lissa:_Sprightly_Cleric,Colorless,1.0,1,2017-02-02
709,Lissa: Sweet Celebrant,Awakening,Armored,Colorless Staff,42,35,25,37,40,179,https://feheroes.fandom.com/wiki/Lissa:_Sweet_Celebrant,Colorless,6.2,6,2022-02-08
710,Lloyd: Vengeful Wolf,The Blazing Blade,Infantry,Red Sword,41,43,46,31,32,193,https://feheroes.fandom.com/wiki/Lloyd:_Vengeful_Wolf,Red,8.5,8,2024-05-09
711,Lloyd: White Wolf,The Blazing Blade,Infantry,Red Sword,41,32,35,20,30,158,https://feheroes.fandom.com/wiki/Lloyd:_White_Wolf,Red,1.3,1,2017-05-19
712,Loki: Spring Trickster,Heroes,Flying,Colorless Bow,39,31,34,27,25,156,https://feheroes.fandom.com/wiki/Loki:_Spring_Trickster,Colorless,3.3,3,2019-03-23
713,Loki: The Trickster,Heroes,Infantry,Colorless Staff,42,33,35,16,25,151,https://feheroes.fandom.com/wiki/Loki:_The_Trickster,Colorless,2.1,2,2018-10-23
714,Loki: Trickster God,Heroes,Flying,Colorless Staff,39,47,30,16,47,179,https://feheroes.fandom.com/wiki/Loki:_Trickster_God,Colorless,8.4,8,2024-04-30
715,Lon'qu: Solitary Blade,Awakening,Infantry,Red Sword,45,29,39,22,22,157,https://feheroes.fandom.com/wiki/Lon%27qu:_Solitary_Blade,Red,1.0,1,2017-02-02
716,Lon'qu: Spring Jitters,Awakening,Infantry,Green Axe,43,45,48,32,31,199,https://feheroes.fandom.com/wiki/Lon%27qu:_Spring_Jitters,Green,9.3,9,2025-03-07
717,Lorenz: Highborn Heat,Three Houses,Infantry,Red Tome,45,32,31,25,29,162,https://feheroes.fandom.com/wiki/Lorenz:_Highborn_Heat,Red,4.7,4,2020-07-08
718,Louise: Eternal Devotion,The Blazing Blade,Cavalry,Colorless Bow,39,31,34,17,30,151,https://feheroes.fandom.com/wiki/Louise:_Eternal_Devotion,Colorless,3.5,3,2019-05-25
719,Louise: Lady of Violets,The Blazing Blade,Infantry,Colorless Bow,41,37,42,16,36,172,https://feheroes.fandom.com/wiki/Louise:_Lady_of_Violets,Colorless,5.4,5,2021-04-06
720,Lucia: Loyalty Enrobed,Path of Radiance,Infantry,Blue Lance,41,42,46,30,34,193,https://feheroes.fandom.com/wiki/Lucia:_Loyalty_Enrobed,Blue,8.8,8,2024-08-07
721,Lucia: Tireless Advisor,Radiant Dawn,Infantry,Red Sword,40,41,45,29,32,187,https://feheroes.fandom.com/wiki/Lucia:_Tireless_Advisor,Red,7.2,7,2023-02-17
722,Lucina: Brave Princess,Awakening,Infantry,Blue Lance,41,34,36,27,19,157,https://feheroes.fandom.com/wiki/Lucina:_Brave_Princess,Blue,1.6,1,2017-08-31
723,Lucina: Fate's Resolve,Awakening,Cavalry,Green Axe,40,43,47,31,23,184,https://feheroes.fandom.com/wiki/Lucina:_Fate%27s_Resolve,Green,8.0,8,2023-12-07
724,Lucina: Future Fondness,Awakening,Armored,Green Axe,41,39,42,37,31,190,https://feheroes.fandom.com/wiki/Lucina:_Future_Fondness,Green,6.2,6,2022-02-08
725,Lucina: Future Witness,Awakening,Infantry,Red Sword,43,34,36,25,19,157,https://feheroes.fandom.com/wiki/Lucina:_Future_Witness,Red,1.0,1,2017-02-02
726,Lucina: Glorious Archer,Awakening,Infantry,Blue Bow,36,34,35,25,20,150,https://feheroes.fandom.com/wiki/Lucina:_Glorious_Archer,Blue,2.7,2,2018-07-31
727,Lucina: Shadows of Fate,Awakening,Cavalry,Colorless Bow,40,45,48,28,24,185,https://feheroes.fandom.com/wiki/Lucina:_Shadows_of_Fate,Colorless,8.11,8,2024-11-06
728,Lucina: Spring Exalt,Awakening,Infantry,Blue Tome,35,29,36,22,25,147,https://feheroes.fandom.com/wiki/Lucina:_Spring_Exalt,Blue,1.1,1,2017-03-30
729,Lucius: Calming Light,The Blazing Blade,Infantry,Colorless Staff,38,45,31,17,47,178,https://feheroes.fandom.com/wiki/Lucius:_Calming_Light,Colorless,7.4,7,2023-04-07
730,Lucius: The Light,The Blazing Blade,Infantry,Colorless Staff,37,32,30,13,35,147,https://feheroes.fandom.com/wiki/Lucius:_The_Light,Colorless,1.1,1,2017-03-14
731,Ludveck: Rebellious Duke,Radiant Dawn,Armored,Green Axe,46,44,32,45,28,195,https://feheroes.fandom.com/wiki/Ludveck:_Rebellious_Duke,Green,7.2,7,2023-02-17
732,Lugh: Anima Child,The Binding Blade,Infantry,Green Tome,37,35,36,17,31,156,https://feheroes.fandom.com/wiki/Lugh:_Anima_Child,Green,3.3,3,2019-03-08
733,Lukas: Buffet for One,Echoes,Armored,Blue Lance,51,37,21,42,22,173,https://feheroes.fandom.com/wiki/Lukas:_Buffet_for_One,Blue,3.4,3,2019-04-19
734,Lukas: Sharp Soldier,Echoes,Infantry,Blue Lance,45,35,22,38,17,157,https://feheroes.fandom.com/wiki/Lukas:_Sharp_Soldier,Blue,1.2,1,2017-04-14
735,Luke: Rowdy Squire,Shadow Dragon / (New) Mystery,Cavalry,Red Sword,43,34,28,30,20,155,https://feheroes.fandom.com/wiki/Luke:_Rowdy_Squire,Red,1.4,1,2017-06-14
736,Lumera: Corrupted Dragon,Engage,Infantry,Red Breath,36,41,45,26,45,193,https://feheroes.fandom.com/wiki/Lumera:_Corrupted_Dragon,Red,8.5,8,2024-05-08
737,Lumera: Dragon Monarch,Engage,Infantry,Red Sword,43,43,43,33,25,187,https://feheroes.fandom.com/wiki/Lumera:_Dragon_Monarch,Red,7.1,7,2023-01-18
738,Lumera: In Distant Skies,Engage,Infantry,Blue Breath,37,43,46,27,40,193,https://feheroes.fandom.com/wiki/Lumera:_In_Distant_Skies,Blue,8.1,8,2024-01-30
739,Lute: Prodigy,The Sacred Stones,Infantry,Blue Tome,33,36,32,16,34,151,https://feheroes.fandom.com/wiki/Lute:_Prodigy,Blue,1.8,1,2017-11-15
740,Lute: Summer Prodigy,The Sacred Stones,Flying,Blue Tome,37,35,34,17,32,155,https://feheroes.fandom.com/wiki/Lute:_Summer_Prodigy,Blue,4.6,4,2020-06-18
741,Luthier: Odd Wayfarer,Echoes,Infantry,Green Tome,43,37,36,20,30,166,https://feheroes.fandom.com/wiki/Luthier:_Odd_Wayfarer,Green,5.6,5,2021-06-08
742,Luthier: Spring Hopes,Echoes,Cavalry,Blue Lance,41,38,36,31,27,173,https://feheroes.fandom.com/wiki/Luthier:_Spring_Hopes,Blue,6.3,6,2022-03-08
743,Lyn: Blazing Whirlwind,The Blazing Blade,Infantry,Blue Lance,39,38,44,34,32,187,https://feheroes.fandom.com/wiki/Lyn:_Blazing_Whirlwind,Blue,6.9,6,2022-09-07
744,Lyn: Brave Lady,The Blazing Blade,Cavalry,Colorless Bow,35,33,35,18,28,149,https://feheroes.fandom.com/wiki/Lyn:_Brave_Lady,Colorless,1.6,1,2017-08-31
745,Lyn: Bride of the Plains,The Blazing Blade,Infantry,Colorless Staff,39,28,34,23,24,148,https://feheroes.fandom.com/wiki/Lyn:_Bride_of_the_Plains,Colorless,1.3,1,2017-05-30
746,Lyn: Lady of the Beach,The Blazing Blade,Flying,Blue Bow,37,33,38,20,27,155,https://feheroes.fandom.com/wiki/Lyn:_Lady_of_the_Beach,Blue,3.7,3,2019-07-09
747,Lyn: Lady of the Plains,The Blazing Blade,Infantry,Red Sword,37,28,37,26,29,157,https://feheroes.fandom.com/wiki/Lyn:_Lady_of_the_Plains,Red,1.0,1,2017-02-02
748,Lyn: Lady of the Wind,The Blazing Blade,Infantry,Green Bow,36,31,36,21,27,151,https://feheroes.fandom.com/wiki/Lyn:_Lady_of_the_Wind,Green,2.4,2,2018-05-01
749,Lyn: Ninja-Friend Duo,The Blazing Blade,Flying,Colorless Dagger,40,38,42,21,26,167,https://feheroes.fandom.com/wiki/Lyn:_Ninja-Friend_Duo,Colorless,4.11,4,2020-11-06
750,Lyn: Of Blazing,The Blazing Blade,Infantry,Green Bow,40,46,48,29,31,194,https://feheroes.fandom.com/wiki/Lyn:_Of_Blazing,Green,9.0,9,2024-12-25
751,Lyn: Plains Wind,The Blazing Blade,Cavalry,Green Beast,40,46,49,36,24,195,https://feheroes.fandom.com/wiki/Lyn:_Plains_Wind,Green,9.9,9,2025-09-30
752,Lyn: Wind's Embrace,The Blazing Blade,Armored,Blue Tome,37,31,36,27,34,165,https://feheroes.fandom.com/wiki/Lyn:_Wind%27s_Embrace,Blue,2.2,2,2018-02-09
753,Lyon: Demon King,The Sacred Stones,Infantry,Green Tome,40,40,16,32,35,163,https://feheroes.fandom.com/wiki/Lyon:_Demon_King,Green,4.5,4,2020-05-08
754,Lyon: Esteemed Royals,The Sacred Stones,Cavalry,Green Tome,39,47,16,26,46,174,https://feheroes.fandom.com/wiki/Lyon:_Esteemed_Royals,Green,8.2,8,2024-02-07
755,Lyon: Grado's Gaze,The Sacred Stones,Infantry,Blue Tome,38,38,18,34,37,165,https://feheroes.fandom.com/wiki/Lyon:_Grado%27s_Gaze,Blue,5.4,5,2021-04-19
756,Lyon: Shadow Prince,The Sacred Stones,Infantry,Red Tome,41,34,21,26,30,152,https://feheroes.fandom.com/wiki/Lyon:_Shadow_Prince,Red,2.1,2,2018-01-26
757,Lyon: Sunlit Prince,The Sacred Stones,Infantry,Red Sword,42,42,21,37,39,181,https://feheroes.fandom.com/wiki/Lyon:_Sunlit_Prince,Red,6.7,6,2022-07-07
758,Lyre: Lap Cat of Luxury,Radiant Dawn,Cavalry,Colorless Beast,40,37,42,27,28,174,https://feheroes.fandom.com/wiki/Lyre:_Lap_Cat_of_Luxury,Colorless,6.0,6,2022-01-01
759,Lysithea: Child Prodigy,Three Houses,Infantry,Red Tome,37,41,37,21,24,160,https://feheroes.fandom.com/wiki/Lysithea:_Child_Prodigy,Red,4.3,4,2020-03-06
760,Lysithea: Earnest Seeker,Three Houses,Infantry,Red Tome,40,40,39,21,25,165,https://feheroes.fandom.com/wiki/Lysithea:_Earnest_Seeker,Red,4.8,4,2020-08-18
761,Lysithea: Gifted Students,The Sacred Stones,Cavalry,Colorless Tome,38,42,40,19,23,162,https://feheroes.fandom.com/wiki/Lysithea:_Gifted_Students,Colorless,6.0,6,2021-12-16
762,Lysithea: Tea Sweetener,Three Houses,Flying,Colorless Tome,38,46,46,20,22,172,https://feheroes.fandom.com/wiki/Lysithea:_Tea_Sweetener,Colorless,7.8,7,2023-08-08
763,Machyua: Blade of Gales,Thracia 776,Infantry,Red Sword,40,44,48,36,31,199,https://feheroes.fandom.com/wiki/Machyua:_Blade_of_Gales,Red,9.7,9,2025-07-18
764,Mae: Bundle of Energy,Echoes,Infantry,Blue Tome,35,36,31,16,30,148,https://feheroes.fandom.com/wiki/Mae:_Bundle_of_Energy,Blue,1.3,1,2017-05-15
765,Mae: Spring Cheer,Echoes,Infantry,Green Tome,40,48,41,17,41,187,https://feheroes.fandom.com/wiki/Mae:_Spring_Cheer,Green,9.3,9,2025-03-07
766,Malice: Blooming Blade,Shadow Dragon / (New) Mystery,Infantry,Red Sword,41,44,48,35,31,199,https://feheroes.fandom.com/wiki/Malice:_Blooming_Blade,Red,9.1,9,2025-01-17
767,Malice: Deft Sellsword,Shadow Dragon / (New) Mystery,Infantry,Red Sword,40,39,43,32,28,182,https://feheroes.fandom.com/wiki/Malice:_Deft_Sellsword,Red,5.1,5,2021-10-18
768,Mamori: Microwavin' Idol,Tokyo Mirage Sessions ♯FE Encore,Armored,Green Axe,43,37,24,42,33,179,https://feheroes.fandom.com/wiki/Mamori:_Microwavin%27_Idol,Green,4.1,4,2020-01-20
769,Manuela: Silver Caroler,Three Houses,Armored,Red Sword,42,37,42,38,31,190,https://feheroes.fandom.com/wiki/Manuela:_Silver_Caroler,Red,6.0,6,2021-12-16
770,Marcia: Petulant Knight,Path of Radiance,Flying,Blue Lance,41,37,41,32,26,177,https://feheroes.fandom.com/wiki/Marcia:_Petulant_Knight,Blue,5.11,5,2021-11-17
771,Mareeta: Astra Awakened,Thracia 776,Infantry,Red Sword,40,40,43,34,25,182,https://feheroes.fandom.com/wiki/Mareeta:_Astra_Awakened,Red,6.3,6,2022-03-18
772,Mareeta: Sword of Stars,Thracia 776,Infantry,Red Sword,41,35,42,31,23,172,https://feheroes.fandom.com/wiki/Mareeta:_Sword_of_Stars,Red,4.0,4,2019-12-06
773,Mareeta: The Blade's Pawn,Thracia 776,Infantry,Red Sword,42,33,41,29,23,168,https://feheroes.fandom.com/wiki/Mareeta:_The_Blade%27s_Pawn,Red,3.5,3,2019-05-10
774,Maria: Minerva's Sister,Shadow Dragon / (New) Mystery,Infantry,Colorless Staff,36,27,34,19,32,148,https://feheroes.fandom.com/wiki/Maria:_Minerva%27s_Sister,Colorless,1.0,1,2017-02-02
775,Maria: Ritual Sacrifice,Shadow Dragon / (New) Mystery,Infantry,Colorless Staff,37,44,45,16,35,177,https://feheroes.fandom.com/wiki/Maria:_Ritual_Sacrifice,Colorless,7.5,7,2023-05-09
776,Maria: Sunny Smile,Shadow Dragon / (New) Mystery,Flying,Green Axe,35,37,40,40,25,177,https://feheroes.fandom.com/wiki/Maria:_Sunny_Smile,Green,6.3,6,2022-03-08
777,Marianne: Adopted Daughter,Three Houses,Infantry,Blue Tome,36,41,32,17,39,165,https://feheroes.fandom.com/wiki/Marianne:_Adopted_Daughter,Blue,5.3,5,2021-03-05
778,Marianne: Cursed Blessing,Three Houses,Flying,Red Tome,37,46,40,16,45,184,https://feheroes.fandom.com/wiki/Marianne:_Cursed_Blessing,Red,8.1,8,2024-10-15
779,Marianne: Serene Adherent,Three Houses,Infantry,Colorless Tome,38,40,41,17,35,171,https://feheroes.fandom.com/wiki/Marianne:_Serene_Adherent,Colorless,5.8,5,2021-08-17
780,Maribelle: Dire Damsel,Awakening,Cavalry,Colorless Staff,34,35,33,16,27,145,https://feheroes.fandom.com/wiki/Maribelle:_Dire_Damsel,Colorless,2.7,2,2018-07-20
781,Marisa: Crimson Flash,The Sacred Stones,Infantry,Red Sword,46,30,36,30,21,163,https://feheroes.fandom.com/wiki/Marisa:_Crimson_Flash,Red,2.1,2,2018-01-31
782,Marisa: Crimson Rabbit,The Sacred Stones,Flying,Blue Lance,42,33,38,28,21,162,https://feheroes.fandom.com/wiki/Marisa:_Crimson_Rabbit,Blue,3.3,3,2019-03-19
783,Marisa: Willful Blades,The Sacred Stones,Cavalry,Green Axe,45,45,48,28,23,189,https://feheroes.fandom.com/wiki/Marisa:_Willful_Blades,Green,9.1,9,2025-01-17
784,Mark: Winds of Hope,The Blazing Blade,Infantry,Blue Tome,40,44,27,20,46,177,https://feheroes.fandom.com/wiki/Mark:_Winds_of_Hope,Blue,7.4,7,2023-04-07
785,Marla: Duma's Witch,Echoes,Infantry,Red Tome,38,46,33,20,45,182,https://feheroes.fandom.com/wiki/Marla:_Duma%27s_Witch,Red,7.1,7,2023-10-17
786,Marni: Pining for Praise,Engage,Armored,Green Axe,49,46,20,50,40,205,https://feheroes.fandom.com/wiki/Marni:_Pining_for_Praise,Green,8.9,8,2024-09-18
787,Marth: Altean Groom,Shadow Dragon / (New) Mystery,Cavalry,Green Axe,40,31,36,30,20,157,https://feheroes.fandom.com/wiki/Marth:_Altean_Groom,Green,2.5,2,2018-05-25
788,Marth: Altean Prince,Shadow Dragon / (New) Mystery,Infantry,Red Sword,41,31,34,29,23,158,https://feheroes.fandom.com/wiki/Marth:_Altean_Prince,Red,1.0,1,2017-02-02
789,Marth: Enigmatic Blade,Awakening,Infantry,Red Sword,43,34,36,25,19,157,https://feheroes.fandom.com/wiki/Marth:_Enigmatic_Blade,Red,1.4,1,2017-06-08
790,Marth: Hero-King,Shadow Dragon / (New) Mystery,Infantry,Red Sword,40,34,36,32,21,163,https://feheroes.fandom.com/wiki/Marth:_Hero-King,Red,2.8,2,2018-08-28
791,Marth: Legacied Hero,Shadow Dragon / (New) Mystery,Infantry,Red Sword,41,36,37,32,26,172,https://feheroes.fandom.com/wiki/Marth:_Legacied_Hero,Red,4.4,4,2020-04-20
792,Marth: Love and Courage,Shadow Dragon / (New) Mystery,Flying,Red Sword,40,45,48,36,25,194,https://feheroes.fandom.com/wiki/Marth:_Love_and_Courage,Red,9.4,9,2025-04-28
793,Marth: Masked Gladiator,Awakening,Infantry,Blue Lance,40,46,49,38,31,204,https://feheroes.fandom.com/wiki/Marth:_Masked_Gladiator,Blue,9.9,9,2025-09-05
794,Marth: Of Beginnings,Shadow Dragon / (New) Mystery,Infantry,Red Sword,41,45,47,33,27,193,https://feheroes.fandom.com/wiki/Marth:_Of_Beginnings,Red,8.1,8,2024-01-30
795,Marth: Prince of Light,Shadow Dragon / (New) Mystery,Infantry,Red Sword,41,41,43,32,25,182,https://feheroes.fandom.com/wiki/Marth:_Prince_of_Light,Red,5.8,5,2021-08-17
796,Marth: Royal Altean Duo,Shadow Dragon / (New) Mystery,Armored,Colorless Bow,42,36,41,30,25,174,https://feheroes.fandom.com/wiki/Marth:_Royal_Altean_Duo,Colorless,4.0,4,2019-12-16
797,Mathilda: Legendary Knight,Echoes,Cavalry,Blue Lance,35,29,32,24,34,154,https://feheroes.fandom.com/wiki/Mathilda:_Legendary_Knight,Blue,1.5,1,2017-07-13
798,Matthew: Faithful Spy,The Blazing Blade,Infantry,Colorless Dagger,41,25,34,30,18,148,https://feheroes.fandom.com/wiki/Matthew:_Faithful_Spy,Colorless,1.0,1,2017-02-02
799,Matthis: Brother to Lena,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,41,43,32,38,25,179,https://feheroes.fandom.com/wiki/Matthis:_Brother_to_Lena,Blue,6.11,6,2022-11-19
800,Mauvier: Penitent Knight,Engage,Cavalry,Blue Lance,42,44,18,46,35,185,https://feheroes.fandom.com/wiki/Mauvier:_Penitent_Knight,Blue,8.2,8,2024-02-19
801,Medeus: Earth-Dragon King,Shadow Dragon / (New) Mystery,Infantry,Colorless Breath,40,44,18,38,43,183,https://feheroes.fandom.com/wiki/Medeus:_Earth-Dragon_King,Colorless,6.4,6,2022-04-28
802,Medeus: Last Earth Dragon,Shadow Dragon / (New) Mystery,Infantry,Blue Breath,41,49,19,42,47,198,https://feheroes.fandom.com/wiki/Medeus:_Last_Earth_Dragon,Blue,9.4,9,2025-04-15
803,Melady: Crimson Rider,The Binding Blade,Flying,Blue Lance,41,40,33,41,17,172,https://feheroes.fandom.com/wiki/Melady:_Crimson_Rider,Blue,4.11,4,2020-11-17
